97,180,25,23,0
29,535.8,6,32,1
167,408,12,14,3
91,132,6,15,4
131,1529.5,23,10,4
136,43.2,6,34,4
76,816,24,21,7
66,154,7,13,9
88,1493.5,29,5,15
117,194.4,27,25,15
10,1130.5,17,23,16
129,352.8,28,21,16
190,170,5,28,16
108,2053.9,23,4,17
13,50.4,7,26,19
151,198,9,15,20
35,108,15,22,21
184,616,28,23,21
34,412,8,1,22
20,598.5,9,9,25
134,731.5,11,35,29
155,198,9,19,29
42,1995,30,10,30
73,110,5,2,30
187,238,7,27,31
119,931,14,23,32
156,1263.5,19,8,33
64,618,12,25,37
74,138.6,11,29,38
125,625.1,7,35,39
58,163.8,13,30,41
163,1081.5,21,7,44
47,803.7,9,20,45
96,43.2,6,35,47
122,357.2,4,22,48
39,267.9,3,1,51
1,75.6,6,27,53
38,154,7,11,53
30,1390.5,27,28,54
41,57.6,8,17,55
127,798,12,35,59
182,616,28,12,59
100,189,15,15,60
164,598.5,9,26,62
175,1995,30,25,63
188,201.6,16,2,64
19,884,26,17,69
185,572,26,11,71
62,918,27,2,72
165,21.6,3,20,72
51,103,2,10,77
154,2500.4,28,3,78
16,154,7,32,79
93,978.5,19,32,79
32,864.5,13,23,80
133,782,23,23,80
172,51.5,1,13,80
49,86.4,12,31,85
147,138.6,11,20,85
101,37.8,3,24,88
12,1287.5,25,13,89
50,170,5,33,90
128,198,9,9,90
53,515,10,12,91
86,2232.5,25,34,91
37,824,16,34,95
81,721,14,12,96
115,1081.5,21,20,96
124,28.8,4,26,97
148,515,10,11,97
82,66,3,20,99
176,462,21,20,99
6,154.5,3,31,100
171,126,10,20,102
60,714,21,28,103
162,108,15,16,104
71,515,10,14,105
25,100.8,8,10,106
84,578,17,33,107
153,72,10,6,108
52,216,30,6,109
21,201.6,28,22,111
33,242,11,22,111
157,1130.5,17,34,112
5,1442,28,10,113
139,446.5,5,36,113
181,272,8,26,115
46,665,10,32,116
95,180,25,5,125
98,57.6,8,33,125
104,133,2,1,131
183,1250.2,14,22,131
9,50.4,7,35,132
138,616,28,19,132
114,1030,20,34,135
186,1729,26,9,136
189,1545,30,13,136
109,220,10,33,139
67,14.4,2,35,140
22,550,25,7,141
89,214.2,17,2,141
24,931,14,24,143
44,352.8,28,8,143
142,332.5,5,34,144
146,1786,20,7,148
18,374,11,8,151
121,446.5,5,16,151
26,252,20,23,152
126,1493.5,29,19,154
77,1236,24,16,155
99,21.6,3,21,155
4,330,15,26,159
140,176,8,3,159
179,1071.6,12,36,159
36,68,2,12,161
17,187.2,26,12,164
87,1236,24,22,165
180,1545,30,11,166
14,997.5,15,28,177
135,1133,22,3,177
191,340,10,28,177
152,782,23,15,179
55,1030,20,35,181
130,100.8,14,33,182
169,442,13,18,182
177,89.3,1,27,189
7,2679,30,15,190
59,638,29,25,191
27,1339,26,32,193
57,816,24,12,193
170,242,11,1,194
113,1287.5,25,4,196
166,2589.7,29,27,196
174,1020,30,3,196
63,884,26,27,198
15,180,25,18,200
143,154,7,6,203
120,264,12,34,204
178,66.5,1,2,204
72,782,23,36,206
145,306,9,32,206
8,412,8,34,209
158,102,3,36,209
68,1184.5,23,27,212
168,612,18,35,214
112,136.8,19,11,215
65,1964.6,22,31,216
94,113.4,9,8,216
79,731.5,11,18,217
28,1160.9,13,8,221
54,1197,18,2,226
80,528,24,23,227
149,1428.8,16,2,227
105,680,20,36,233
110,100.8,8,3,234
103,1795.5,27,12,240
111,2232.5,25,28,240
144,57.6,8,36,241
83,462,21,4,242
141,418,19,5,242
161,66,3,6,244
90,37.8,3,35,246
132,798,12,6,248
3,198,9,21,249
159,515,10,14,249
43,332.5,5,16,252
40,110,5,31,253
23,1287.5,25,28,254
31,1071.6,12,9,255
69,1928.5,29,15,256
106,327.6,26,27,257
92,918,27,29,259
78,88,4,25,260
160,399,6,4,262
85,2232.5,25,17,263
116,12.6,1,19,263
11,242,11,26,264
123,1184.5,23,1,264
48,408,12,30,266
56,1197,18,25,266
102,352,16,10,266
70,1786,20,13,270
107,136.8,19,29,272
75,612,18,2,276
45,220,10,17,278
118,616,28,26,284
2,594,27,23,285
150,798,12,18,287
137,201.6,28,25,288
61,360.5,7,13,290
173,598.5,9,24,298
